Gene/Complex,Systematic Name/Complex Accession
VAR1,Q0140
EFB1,YAL003W
FUN12,YAL035W
FMT1,YBL013W
RPL19B,YBL027W
MRPL16,YBL038W
RPS8A,YBL072C
ILS1,YBL076C
PET112,YBL080C
RPL23A,YBL087C
MRP21,YBL090W
RPL32,YBL092W
RPL4A,YBR031W
RPS11B,YBR048W
RPG1,YBR079C
RPL19A,YBR084C-A
TEF2,YBR118W
GRS1,YBR121C
SUP45,YBR143C
MRPS9,YBR146W
RPS6B,YBR181C
RPS9B,YBR189W
RPL21A,YBR191W
MRPS5,YBR251W
MRPL27,YBR282W
MRPL32,YCR003W
SLM5,YCR024C
RPS14A,YCR031C
IMG1,YCR046C
IMG2,YCR071C
RPS29B,YDL061C
RPL31A,YDL075W
RPL13A,YDL082W
RPS16B,YDL083C
RPL41B,YDL133C-A
RPL35B,YDL136W
RPL41A,YDL184C
RPL35A,YDL191W
MRPL11,YDL202W
SSB1,YDL229W
RPL4B,YDR012W
SES1,YDR023W
RPS11A,YDR025W
KRS1,YDR037W
RSM10,YDR041W
RPS13,YDR064W
RLI1,YDR091C
MRX14,YDR115W
MRPL1,YDR116C
SUP35,YDR172W
GCD6,YDR211W
MRPL7,YDR237W
MSW1,YDR268W
GCN2,YDR283C
MRPS28,YDR337W
YDR341C,YDR341C
EFT2,YDR385W
MRP20,YDR405W
RPL12B,YDR418W
TIF35,YDR429C
RPS17B,YDR447C
RPS18A,YDR450W
RPL27B,YDR471W
RPL37B,YDR500C
HYP2,YEL034W
RML2,YEL050C
RPL12A,YEL054C
TMA20,YER007C-A
GCD11,YER025W
RSM18,YER050C
RPL34A,YER056C-A
RPS24A,YER074W
AIM10,YER087W
RPS8B,YER102W
RPL23B,YER117W
RPS26B,YER131W
FRS2,YFL022C
RPL22B,YFL034C-A
RPL2A,YFR031C-A
RPL29,YFR032C-A
TIF4632,YGL049C
MNP1,YGL068W
RPL28,YGL103W
RPS2,YGL123W
RPL1B,YGL135W
MRF1,YGL143C
RPL9A,YGL147C
RPS26A,YGL189C
GUS1,YGL245W
RPL26B,YGR034W
YGR054W,YGR054W
GCD2,YGR083C
RPL11B,YGR085C
VAS1,YGR094W
GTF1,YGR102C
RPS23A,YGR118W
TIF4631,YGR162W
MSM1,YGR171C
TYS1,YGR185C
RPS0A,YGR214W
MRPL9,YGR220C
MES1,YGR264C
RPL14B,YHL001W
MRP4,YHL004W
RPS20,YHL015W
RPL27A,YHR010W
DIA4,YHR011W
DED81,YHR019C
YHR020W,YHR020W
RPS27B,YHR021C
RRF1,YHR038W
MSR1,YHR091C
RPL42B,YHR141C
MRPL6,YHR147C
MTG2,YHR168W
RPS4B,YHR203C
RPL2B,YIL018W
RPL34B,YIL052C
RPS24B,YIL069C
THS1,YIL078W
RPL16A,YIL133C
RPL40A,YIL148W
MRPL8,YJL063C
MEF2,YJL102W
RPS21B,YJL136C
TIF2,YJL138C
RPL17B,YJL177W
RPL39,YJL189W
RPS22A,YJL190C
RPS14B,YJL191W
SUI2,YJR007W
ANB1,YJR047C
RPL43B,YJR094W-A
RSM7,YJR113C
RPS5,YJR123W
RPS4A,YJR145C
MRP17,YKL003C
RPL14A,YKL006W
TMA19,YKL056C
TEF4,YKL081W
CTK1,YKL139W
RSM22,YKL155C
RPS27A,YKL156W
MRPL38,YKL170W
RPL17A,YKL180W
MST1,YKL194C
GCN3,YKR026C
RPS21A,YKR057W
TIF1,YKR059W
HBS1,YKR084C
RPL40B,YKR094C
DPS1,YLL018C
RPL15A,YLR029C
RPS0B,YLR048W
FRS1,YLR060W
RPL22A,YLR061W
MEF1,YLR069C
RPL10,YLR075W
SLS1,YLR139C
RPS31,YLR167W
RPL37A,YLR185W
HCR1,YLR192C
YEF3,YLR249W
TMA7,YLR262C-A
RPS28B,YLR264W
RPS30A,YLR287C-A
GUF1,YLR289W
GCD7,YLR291C
RPL38,YLR325C
RPL26A,YLR344W
RPS22B,YLR367W
NAM2,YLR382C
RPS29A,YLR388W
RPL31B,YLR406C
MRPL4,YLR439W
RPS1A,YLR441C
RPL6B,YLR448W
MRPL39,YML009C
RPS17A,YML024W
YML6,YML025C
RPS18B,YML026C
RPS1B,YML063W
RPL6A,YML073C
RPL15B,YMR121C
RPL13B,YMR142C
RPS16A,YMR143W
TIF34,YMR146C
MRPS8,YMR158W
MRPS17,YMR188C
RPL36A,YMR194W
RPL20A,YMR242C
TIF11,YMR260C
MRPL33,YMR286W
HER2,YMR293C
NIP1,YMR309C
DOM34,YNL001W
MRP7,YNL005C
HEF3,YNL014W
YNL040W,YNL040W
RPL9B,YNL067W
RPL16B,YNL069C
MSK1,YNL073W
SWS2,YNL081C
RPS7B,YNL096C
MRP35,YNL122C
RPL42A,YNL162W
MRPL22,YNL177C
RPS3,YNL178W
MRPL19,YNL185C
SSB2,YNL209W
SUI1,YNL244C
CRS1,YNL247W
MRPL10,YNL284C
RPL18B,YNL301C
RPS19B,YNL302C
MRPS18,YNL306W
MRPS12,YNR036C
RSM19,YNR037C
IFM1,YOL023W
MSE1,YOL033W
RPS15,YOL040C
WRS1,YOL097C
RPL18A,YOL120C
RPS19A,YOL121C
RPL25,YOL127W
CDC33,YOL139C
RPL3,YOR063W
SKI7,YOR076C
RPS7A,YOR096W
EFT1,YOR133W
MRPL23,YOR150W
RPS28A,YOR167C
GLN4,YOR168W
RPS30B,YOR182C
TUF1,YOR187W
DED1,YOR204W
RPL33B,YOR234C
GCD1,YOR260W
CAF20,YOR276W
RPL20B,YOR312C
ALA1,YOR335C
PRT1,YOR361C
RPS12,YOR369C
RQC2,YPL009C
MRPS16,YPL013C
ISM1,YPL040C
CAM1,YPL048W
RPL21B,YPL079W
RPS9A,YPL081W
RPS6A,YPL090C
MSY1,YPL097W
MSD1,YPL104W
DBP1,YPL119C
RPL5,YPL131W
RPL33A,YPL143W
CDC60,YPL160W
MRPL40,YPL173W
RTC6,YPL183W-A
RPL1A,YPL220W
SUI3,YPL237W
RPL36B,YPL249C-A
TIF6,YPR016C
HTS1,YPR033C
TIF5,YPR041W
RPL43A,YPR043W
MSF1,YPR047W
TEF1,YPR080W
GRS2,YPR081C
RPL11A,YPR102C
RPS23B,YPR132W
TIF3,YPR163C
MRP2,YPR166C